state,name,shortname
1,Alabama,AK
2,Alaska,AL
3,Arizona,AR
4,Arkansas,AZ
5,California,CA
6,Colorado,CO
7,Connecticut,CT
8,Delaware,DE
9,Florida,FL
10,Georgia,GA
11,Hawaii,HI
12,Idaho,IA
13,Illinois,ID
14,Indiana,IL
15,Iowa,IN
16,Kansas,KS
17,Kentucky,KY
18,Louisiana,LA
19,Maine,MA
20,Maryland,MD
21,Massachusetts,ME
22,Michigan,MI
23,Minnesota,MN
24,Mississippi,MO
25,Missouri,MS
26,Montana,MT
27,Nebraska,NC
28,Nevada,ND
29,New Hampshire,NE
30,New Jersey,NH
31,New Mexico,NJ
32,New York,NM
33,North Carolina,NV
34,North Dakota,NY
35,Ohio,OH
36,Oklahoma,OK
37,Oregon,OR
38,Pennsylvania,PA
39,Rhode Island,RI
40,South Carolina,SC
41,South Dakota,SD
42,Tennessee,TN
43,Texas,TX
44,Utah,UT
45,Vermont,VA
46,Virginia,VT
47,Washington,WA
48,West Virginia,WI
49,Wisconsin,WV
50,Wyoming,WY